9784086173407,4086173409,,,1999-02,344.000000,キャプテン翼 20,高橋陽一,,,9784086173407,
9784086173414,4086173417,,,1999-02,344.000000,キャプテン翼 21,高橋陽一,,,9784086173414,

,,,,1994,212.000000,キャプテン翼,高橋陽一,,,9784088717708,大空翼元気です!!の卷. 第1卷
9784088718545,4088718542,,,1995,195.000000,キャプテン翼,陽一·高橋,,,9784088718545,神の子サンターナの卷. 第2卷
9784088718552,4088718550,,,1995,194.000000,キャプテン翼,陽一·高橋,,,9784088718552,栄光をめざしての卷. 第3卷
9784088718569,4088718569,,,1995,183.000000,キャプテン翼,陽一·高橋,,,9784088718569,夢に向かってスタート!!. 第4卷
9784088718576,4088718577,,,1995,202.000000,キャプテン翼,陽一·高橋,,,9784088718576,気迫で闘え!!の卷. 第5卷
9784088718583,4088718585,,,1995,202.000000,キャプテン翼,陽一·高橋,,,9784088718583,栄冠はきみの上に!の卷. 第6卷
9784088718590,4088718593,,,1996,185.000000,キャプテン翼,陽一·高橋,,,9784088718590,成長した戦士たちの卷. 第7卷
9784088718606,4088718607,,,1996,207.000000,キャプテン翼,陽一·高橋,,,9784088718606,雷獣シュート見参!!の卷. 第8卷
9784088722610,4088722612,,,1996,205.000000,キャプテン翼,陽一·高橋,,,9784088722610,勝利の瞬間!!の卷. 第9卷
9784088722627,4088722620,,,1996,176.000000,キャプテン翼,陽一·高橋,,,9784088722627,窮地の中の光!の卷. 第10卷
9784088722634,4088722639,,,1996,195.000000,キャプテン翼,陽一·高橋,,,9784088722634,夢への扉!!の卷. 第11卷
9784088722641,4088722647,,,1996,196.000000,キャプテン翼,陽一·高橋,,,9784088722641,夢の舞台!!の卷. 第12卷
9784088722658,4088722655,,,1997,152.000000,キャプテン翼,陽一·高橋,,,9784088722658,託されたボール!!の卷. 第13卷
9784088722665,4088722663,,,1997,170.000000,キャプテン翼,陽一·高橋,,,9784088722665,成長の証!!の卷. 第14卷
9784088722672,4088722671,,,1997,187.000000,キャプテン翼,陽一·高橋,,,9784088722672,決勝トーナメント進出!の卷
9784088722689,408872268X,,,1997,185.000000,キャプテン翼,陽一·高橋,,,9784088722689,白夜の波状攻撃!の卷. 第16卷
9784088722696,4088722698,,,1997,190.000000,キャプテン翼,陽一·高橋,,,9784088722696,世界一の座をかけて!の卷. 第17卷
9784088722702,4088722701,,,1997,197.000000,キャプテン翼,陽一·高橋,,,9784088722702,Vゴール!!の卷. 第18卷

9784088728674,408872867X,,,2000-05,224.000000,無頼男(ブレーメン)1,梅澤春人,,,408872867X,
9784088730011,4088730011,,,2000-08,208.000000,無頼男(ブレーメン)2,梅澤春人,,,9784088730011,
9784088730288,4088730283,,,2000-10,192.000000,無頼男(ブレーメン)3,梅澤春人,,,9784088730288,
9784088730523,4088730526,,,2000-12,208.000000,無頼男(ブレーメン)4,梅澤春人,,,9784088730523,

9784088511269,4088511263,,,1988,192.000000,ジョジョの奇妙な冒険 1,荒木飛呂彦,,,9784088511269,

