,Url,Série,Numéro,Title,Cote,Check,Notes Erwan,Author(s),Scénariste,Dessinateur,Editor,Release date,Book format,Language,Summary,Grade,Cover,Estimated price,Bonus data
9782876870321,https://www.justbooks.fr/search/?keywords=9782876870321&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,V pour Vendetta,6,Victoria,VPOUR,o,COMICS,Moore-a,,,Glénat BD,1989,Couverture rigide,Français,,4.44 Note moyenne,https://pictures.abebooks.com/isbn/9782876870321-us-300.jpg,,NaN
9782876870048,https://www.justbooks.fr/search/?keywords=9782876870048&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Watchmen  : Les Gardiens,3,Rorschach,WATCH,o,COMICS,Alan Moore â€“ Dave Gibbons,,,Zenda,,Couverture rigide,FranÃ§ais,,,https://pictures.abebooks.com/isbn/9782876870048-us-300.jpg,"€13,15",NaN
,,Watchmen  : Les Gardiens,1,Le comédien,WATCH,o,COMICS,,,,,,,,,,,,
9782876870055,https://www.justbooks.fr/search/?keywords=9782876870055&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Watchmen  : Les Gardiens,4,Le Hibou,WATCH,o,COMICS,Alan Moore,,,Zenda,,Couverture rigide,Français,,,https://pictures.abebooks.com/isbn/9782876870055-us-300.jpg,"€5,49",NaN
9782876870079,https://www.justbooks.fr/search/?keywords=9782876870079&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Watchmen  : Les Gardiens,5,Laurie,WATCH,o,COMICS,Alan Moore,,,Zenda,1990,Couverture rigide,Français,,,https://pictures.abebooks.com/isbn/9782876870079-us-300.jpg,,NaN
9782876870093,https://www.justbooks.fr/search/?keywords=9782876870093&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Watchmen  : Les Gardiens,6,Ozymandias,WATCH,o,COMICS,Alan Moore,,,Zenda,1990,Couverture rigide,,,,https://pictures.abebooks.com/isbn/9782876870093-us-300.jpg,"€44,89",NaN
9782365775632,https://www.justbooks.fr/search/?keywords=9782365775632&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Injustice : Gods Among Us,1,Année un 1ère partie,INJUS,o,COMICS,TAYLOR Tom,,,Urban Comics,2014,Couverture souple,Français,"Dans un futur proche, Lois Lane, est assassinée par le machiavélique Joker, ennemi juré de Batman. Fou de rage, Superman exécute le Joker afin de venger sa bien-aimée. Suivi par Wonder Woman, Green Lantern, The Flash et bien d'autres héros de la Ligue de Justice, Superman instaure une ""dictature"" de justice afin de supprimer définitivement le crime, sans jugement. Batman et quelques autres sont décidés à s'insurger contre cet autoritarisme.",4.50 Note moyenne,https://pictures.abebooks.com/isbn/9782365775632-us-300.jpg,"€17,51",NaN
9782365775861,https://www.justbooks.fr/search/?keywords=9782365775861&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Injustice : Gods Among Us,2,Année un 2e partie,INJUS,o,COMICS,TAYLOR Tom,,,Urban Comics,2015,Couverture souple,Français,None,4.39 Note moyenne,https://pictures.abebooks.com/isbn/9782365775861-us-300.jpg,"€18,99",NaN
9782365777865,https://www.justbooks.fr/search/?keywords=9782365777865&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Injustice : Gods Among Us,3,Année Deux 1re partie Tome 3,INJUS,o,COMICS,TAYLOR Tom,,,Urban Comics,2015,Couverture souple,Français,144pages. 28x19x2cm. Broché.,4.30 Note moyenne,https://pictures.abebooks.com/isbn/9782365777865-us-300.jpg,"€15,51",NaN
9782365777872,https://www.justbooks.fr/search/?keywords=9782365777872&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Injustice : Gods Among Us,4,Année Deux 2e partie Tome 4,INJUS,o,COMICS,TAYLOR Tom,,,Urban Comics,2015,Couverture souple,Français,"Depuis la disparition de Batman, la poigne de fer de Superman ne cesse de se resserrer sur une Terre en perdition, désarmée de ses plus vaillants justiciers. Pour autant, certains, comme Black Canary, tiennent encore le coup face aux partisans du régime. Guy Gardner, de son côté, s'envole pour Oa dans le but d'en apprendre d'avantage sur les projets des Gardiens de l'Univers. L'invasion est imminente...",4.27 Note moyenne,https://pictures.abebooks.com/isbn/9782365777872-us-300.jpg,"€17,51",NaN
9782365778138,https://www.justbooks.fr/search/?keywords=9782365778138&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Injustice : Gods Among Us,5,Année 3 - 1ère partie Tome 5,INJUS,o,COMICS,TAYLOR Tom,,,Urban Comics,2016,Couverture souple,Français,"Après deux longues années de guerre opposant les forces alliées de Superman et l'armée des Green Lantern, le conflit a prit fin... non sans déplorer quelques victimes civiles. Des morts que John Constantine ne laissera pas impunies. En unissant l'équipe de super-héros menée par Batman à plusieurs puissances magiques jusqu'alors isolées, il espère bien mettre l'Homme d'Acier hors jeu, une bonne fois pour toute.",4.14 Note moyenne,https://pictures.abebooks.com/isbn/9782365778138-us-300.jpg,"€15,51",NaN
