,Url,Série,Numéro,Title,Cote,Check,Notes Erwan,Author(s),Scénariste,Dessinateur,Editor,Release date,Book format,Language,Summary,Grade,Cover,Estimated price,Bonus data
9782723433907,https://www.justbooks.fr/search/?keywords=9782723433907&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Nausicaä,2,Nausicaä - Tome 2,NAUSI,o,MANGA,"Miyazaki, Hayao",,,Glénat,2000,Couverture souple,Français,,4.52 Note moyenne,https://pictures.abebooks.com/isbn/9782723433907-us-300.jpg,"€17,99",NaN
9782723433914,https://www.justbooks.fr/search/?keywords=9782723433914&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Nausicaä,3,Nausicaä - Tome 3,NAUSI,o,MANGA,"Miyazaki, Hayao",,,Glénat,2001,Couverture souple,Français,,4.56 Note moyenne,https://pictures.abebooks.com/isbn/9782723433914-us-300.jpg,"€49,24",NaN
9782723433921,https://www.justbooks.fr/search/?keywords=9782723433921&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Nausicaä,4,Nausicaä - Tome 4,NAUSI,o,MANGA,"Miyazaki, Hayao",,,Glénat,2001,Couverture souple,Français,,4.59 Note moyenne,https://pictures.abebooks.com/isbn/9782723433921-us-300.jpg,,NaN
9782723433938,https://www.justbooks.fr/search/?keywords=9782723433938&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Nausicaä,5,Nausicaä - Tome 5,NAUSI,o,MANGA,"Miyazaki, Hayao",,,Glénat,2001,Couverture souple,Français,,4.61 Note moyenne,https://pictures.abebooks.com/isbn/9782723433938-us-300.jpg,"€44,98",Google Nausicaä de la Vallée du Vent. 5 [Hayao Miyazaki] [150pp.]
9782723433945,https://www.justbooks.fr/search/?keywords=9782723433945&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Nausicaä,6,Nausicaä - Tome 6,NAUSI,o,MANGA,"Miyazaki, Hayao",,,Glénat,2001,Couverture souple,Français,,4.62 Note moyenne,https://pictures.abebooks.com/isbn/9782723433945-us-300.jpg,"€29,99",NaN
9782723433952,https://www.justbooks.fr/search/?keywords=9782723433952&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Nausicaä,7,Nausicaä - Tome 7,NAUSI,o,MANGA,"Miyazaki, Hayao",,,Glénat,2002,Couverture souple,Français,,4.61 Note moyenne,https://pictures.abebooks.com/isbn/9782723433952-us-300.jpg,"€29,99",NaN
2915492255,https://www.justbooks.fr/search/?keywords=2915492255&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,???,,NONNONBA (PIERRE),NONNO,o,MANGA,"Mizuki, Shigeru",,,CORNELIUS,2006,Couverture souple,français,None,4.24 Note moyenne,https://pictures.abebooks.com/isbn/9782915492255-us-300.jpg,"€33,29",
9782360811106,https://www.justbooks.fr/search/?keywords=9782360811106&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,ONE SHOT,,Opération mort,OPERA,o,MANGA,"Mizuki, Shigeru",,,Cornelius Editions,2016,Couverture souple,Français,,5.00 Note moyenne,https://pictures.abebooks.com/isbn/9782360811106-us-300.jpg,"€36,26",NaN
9782203373433,https://www.justbooks.fr/search/?keywords=9782203373433&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,ONE SHOT,,Le Sauveteur,SAUVE,o,MANGA,"Taniguchi, Jirô",,,Casterman,2007,Couverture souple,Français,,3.60 Note moyenne,https://pictures.abebooks.com/isbn/9782203373433-us-300.jpg,"€12,95",Google Le sauveteur [Jirô Taniguchi] [333pp.]
9782871295785,https://www.justbooks.fr/search/?keywords=9782871295785&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Le Sommet des dieux,1,"Le Sommet des dieux, tome 1",SOMME,o,MANGA,Taniguchi; Baku,,,Kana,2004,Couverture souple,Français,Hard to find book,4.28 Note moyenne,https://pictures.abebooks.com/isbn/9782871295785-us-300.jpg,"€12,60",NaN
9782871295792,https://www.justbooks.fr/search/?keywords=9782871295792&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Le Sommet des dieux,2,"Le Sommet des dieux, tome 2",SOMME,o,MANGA,Taniguchi,,,Kana,2004,Couverture souple,Français,"Fukamachi cherche toujours à en apprendre plus sur le fameux alpiniste Habu Jôji qui aurait retrouvé l'appareil photo de George Mallory sur l'Everest. Il fait la rencontre de Kishi Ryôko, la s?ur d'un jeune alpiniste qui a côtoyé Habu et celle-ci lui déclare être en possession du journal de Habu-san. Sa lecture va plonger Fukamachi, et le lecteur à sa suite, dans une aventure aux limites de l'extrême.",4.38 Note moyenne,https://pictures.abebooks.com/isbn/9782871295792-us-300.jpg,"€26,25",NaN
9782871295808,https://www.justbooks.fr/search/?keywords=9782871295808&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Le Sommet des dieux,3,"Le Sommet des dieux, tome 3",SOMME,o,MANGA,,,,Kana,2004,Couverture souple,Français,,4.27 Note moyenne,https://pictures.abebooks.com/isbn/9782871295808-us-300.jpg,"€31,13",NaN
9782871297215,https://www.justbooks.fr/search/?keywords=9782871297215&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Le Sommet des dieux,4,"Le Sommet des dieux, tome 4",SOMME,o,MANGA,,,,Kana,2005,Couverture souple,Français,"Tandis que l'appareil photo qui aurait pu appartenir au célèbre alpiniste disparu George Mallory suscite toujours toutes les convoitises, Fukamachi entreprend de suivre en tant que photographe l'ascension clandestine de Habu Jôji sur la face Sud Ouest de l'Everest, en hiver et sans oxygène !! Habu accepte uniquement à la condition qu'ils n'aient plus de contacts une fois l'ascension commencée et que chacun se débrouille. Fukamachi rejoint alors Habu pour la période d'acclimatation à l'altitude où il va en apprendre un peu plus sur ce mystérieux et fascinant personnage et peut-être également sur lui-même !",4.47 Note moyenne,https://pictures.abebooks.com/isbn/9782871297215-us-300.jpg,,NaN
9782871297802,https://www.justbooks.fr/search/?keywords=9782871297802&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Le Sommet des dieux,5,"Le Sommet des dieux, tome 5",SOMME,o,MANGA,,,,Kana,2005,Couverture souple,Français,,4.46 Note moyenne,https://pictures.abebooks.com/isbn/9782871297802-us-300.jpg,"€14,99",NaN
,,,,,,,,,,,,,,,,,,,
,,20th Century Boys,1-22,,,,,,,,,,,FR,,,,,
,,21th Century Boys,1-2,,,,,,,,,,,FR,,,,,
,,A silent Voice,1,,,,,,,,,,,,,,,,
,,AI Non Stop,1-7,,,,,,,,,,,FR,,,,,
,,Amer Béton,2-3,,,,,,,,,,,FR,,,,,
,,Astro Boy,1-2,,,,,,,,,,,FR,,,,,
,,Azumanga Daioh,1-4,,,,,,,,,,,FR,,,,,
,,Beck,1-8,,,,,,,,,,,FR,,,,,
,,Blame,1-10,,,,,,,,,,,FR,,,,,
,,Brave story,1-4,,,,,,,,,,,FR,,,,,
,,Bremen,1-9,,,,,,,,,,,FR,,,,,
,,Captain Tsubasa,"1-25, 27, 34",,,,,,,,,,,JAP,,,,,
,,Captain Tsubasa : World Youth,16 [16],,,,,,,,,,,FR,,,,,
,,Captain Tsubasa : World Youth,1-18,,,,,,,,,,,JAP,,,,,
,,Captain Tsubasa (condensé),16-21 [19],,,,,,,,,,,JAP,,,,,
,,City Hunter,1-36,,,,,,,,,,,FR,,,,,
,,Death Note,1-13,,,,,,,,,,,FR,,,,,
,,Deathco,1-5,,,,,,,,,,,FR,,,,,
,,Détenu 042,1-5,,,,,,,,,,,FR,,,,,
,,Dofus,1-4,,,,,,,,,,,FR,,,,,
,,Dragon Ball,42,,,,,,,,,,,JAP,,,,,
,,Dragon Ball,"1-8, 10, 31, 34, 38, 42 [2, 2, 5] (tomes simples) / 6-14 (tomes doubles)",,,,,,,,,,,FR,,,,,
,,Dragon Ball (éditions par 2),6-17,,,,,,,,,,,FR,,,,,
,,Dragon Head,1-10,,,,,,,,,,,FR,,,,,
,,Les enquetes du limier,1,,,,,,,,,,,FR,,,,,
,,Ergo Proxy,1-2,,,,,,,,,,,FR,,,,,
,,Ère des cristaux,1-2,,,,,,,,,,,,,,,,
,,Evangelion (Neon Genesis),1-9,,,,,,,,,,,FR,,,,,
,,Family Compo,1-14,,,,,,,,,,,FR,,,,,
,,Full Metal Alchemist,1-27,,,,,,,,,,,FR,,,,,
,,Gift,1-3,,,,,,,,,,,FR,,,,,
,,Gon,1-7,,,,,,,,,,,JAP/FR,,,,,
,,GTO,"1, 5-22",,,,,,,,,,,FR,,,,,
,,Gunnm,1-9,,,,,,,,,,,FR,,,,,
,,Gunnm Last Order,"1-4, 7-12",,,,,,,,,,,FR,,,,,
,,Gunnm Other Stories,1,,,,,,,,,,,FR,,,,,
,,Happy mania,1,,,,,,,,,,,FR,,,,,
,,Hikaru no go,"1-18, 23 [1 - 2]",,,,,,,,,,,FR,,,,,
,,Histoire des 3 Adolf (L'),1-4,,,,,,,,,,,FR,,,,,
,,Hunter x Hunter,"1-4, 6-17",,,,,,,,,,,FR,,,,,
,,L'ile de Hozuki,1,,,,,,,,,,,FR,,,,,
,,Initiation,1-5,,,,,,,,,,,FR,,,,,
,,Kenshin le Vagabond,"1, 3-15",,,,,,,,,,,FR,,,,,
,,Lone Wolf & Cub,1-4,,,,,,,,,,,FR,,,,,
,,Love Hina,"1-12, 14",,,,,,,,,,,FR,,,,,
,,Macross 7,1-8,,,,,,,,,,,FR,,,,,
,,Metal Brain 109,"1, 3",,,,,,,,,,,FR,,,,,
,,Monster,1-18,,,,,,,,,,,FR,,,,,
,,Noise,1,,,,,,,,,,,FR,,,,,
,,Naruto,1-8,,,,,,,,,,,,,,,,
,,Oboreru karada wa koi no sei !?,1,,,,,,,,,,,JAP,,,,,
,,One Piece,4-9,,,,,,,,,,,FR,,,,,
,,Orange Road (Les tribulations de),"1-4, 6, 8-9, 11, 16, 18",,,,,,,,,,,FR,,,,,
,,Parasite,1-10,,,,,,,,,,,FR,,,,,
,,Platinum End,1,,,,,,,,,,,FR,,,,,
,,Pluto,1-8,,,,,,,,,,,FR,,,,,
,,Pokémon La grande aventure,"1, 3",,,,,,,,,,,FR,,,,,
,,Pokémon Or et Argent,2,,,,,,,,,,,FR,,,,,
,,Pokémon Rubis et Saphir,1-3,,,,,,,,,,,FR,,,,,
,,Prince du Tennis,1-2,,,,,,,,,,,FR,,,,,
,,RahXephon,1-3,,,,,,,,,,,FR,,,,,
,,Ranma ½,"1, 3-7",,,,,,,,,,,FR,,,,,
,,Say hello to Black Jack,"3-11, 13",,,,,,,,,,,FR,,,,,
,,Sing « Yesterday » for me,1-3,,,,,,,,,,,FR,,,,,
,,Tendre voyou,1,,,,,,,,,,,FR,,,,,
,,To your Eternity,1,,,,,,,,,,,,,,,,
,,Vagabond,"1-18, 20",,,,,,,,,,,FR,,,,,
,,Video Girl Aï,1-13,,,,,,,,,,,FR,,,,,
,,Wet Moon,1-3,,,,,,,,,,,FR,,,,,
,,X,1,,,,,,,,,,,FR,,,,,
,,Yakitate JaPAn,2,,,,,,,,,,,FR,,,,,
,,YuYu Hakusho,2-19,,,,,,,,,,,FR,,,,,
