ERROR: 2024/04/16 20:29:16 createauthors.go:35: Found 0 book for 9782731600926
ERROR: 2024/04/16 20:29:18 createauthors.go:41: No author found for 9782731601176
ERROR: 2024/04/16 20:29:19 createauthors.go:35: Found 0 book for 9782731601268
ERROR: 2024/04/16 20:29:20 createauthors.go:35: Found 0 book for 9782731601343
ERROR: 2024/04/16 20:29:22 createauthors.go:35: Found 0 book for 9782731601381
ERROR: 2024/04/16 20:29:22 createauthors.go:41: No author found for 9782731601565
ERROR: 2024/04/16 20:29:28 createauthors.go:35: Found 0 book for 9782731602678
ERROR: 2024/04/16 20:29:29 createauthors.go:35: Found 0 book for 9782731602708
ERROR: 2024/04/16 20:29:30 createauthors.go:41: No author found for 9782731603040
ERROR: 2024/04/16 20:29:36 createauthors.go:41: No author found for 9782731604160
ERROR: 2024/04/16 20:29:37 createauthors.go:35: Found 0 book for 9782731604269
ERROR: 2024/04/16 20:29:38 createauthors.go:35: Found 0 book for 9782731604467
ERROR: 2024/04/16 20:29:39 createauthors.go:35: Found 0 book for 9782731604641
ERROR: 2024/04/16 20:29:40 createauthors.go:35: Found 0 book for 9782731604849
ERROR: 2024/04/16 20:29:40 createauthors.go:35: Found 0 book for 9782731604917
ERROR: 2024/04/16 20:29:48 createauthors.go:35: Found 0 book for 9782731606904
ERROR: 2024/04/16 20:30:05 createauthors.go:41: No author found for 9782731608236
ERROR: 2024/04/16 20:30:08 createauthors.go:35: Found 0 book for 9782731609387
ERROR: 2024/04/16 20:30:11 createauthors.go:35: Found 0 book for 9782731610086
ERROR: 2024/04/16 20:30:23 createauthors.go:35: Found 0 book for 9782731612219
ERROR: 2024/04/16 20:30:24 createauthors.go:41: No author found for 9782731612318
ERROR: 2024/04/16 20:30:33 createauthors.go:35: Found 0 book for 9782731614640
ERROR: 2024/04/16 20:30:39 createauthors.go:35: Found 0 book for 9782731661484
ERROR: 2024/04/16 20:30:43 createauthors.go:35: Found 0 book for 9782737653568
ERROR: 2024/04/16 20:30:44 createauthors.go:35: Found 0 book for 9782737653681
ERROR: 2024/04/16 20:30:45 createauthors.go:35: Found 0 book for 9782737654497
ERROR: 2024/04/16 20:30:55 createauthors.go:35: Found 0 book for 9782756001678
ERROR: 2024/04/16 20:31:22 createauthors.go:41: No author found for 9782756029429
ERROR: 2024/04/16 20:31:24 createauthors.go:41: No author found for 9782756037585
ERROR: 2024/04/16 20:31:25 createauthors.go:41: No author found for 9782756048048
ERROR: 2024/04/16 20:31:26 createauthors.go:41: No author found for 9782756052595
ERROR: 2024/04/16 20:31:26 createauthors.go:41: No author found for 9782756053561
ERROR: 2024/04/16 20:31:28 createauthors.go:41: No author found for 9782756063553
ERROR: 2024/04/16 20:31:32 createauthors.go:41: No author found for 9782756080505
ERROR: 2024/04/16 20:31:32 createauthors.go:35: Found 0 book for 9782800100074
ERROR: 2024/04/16 20:31:34 createauthors.go:35: Found 0 book for 9782800100937
ERROR: 2024/04/16 20:31:35 createauthors.go:35: Found 0 book for 9782800104621
ERROR: 2024/04/16 20:32:03 createauthors.go:41: No author found for 9782800115474
ERROR: 2024/04/16 20:32:36 createauthors.go:41: No author found for 9782800120546
ERROR: 2024/04/16 20:32:48 createauthors.go:35: Found 0 book for 9782800124445
ERROR: 2024/04/16 20:33:17 createauthors.go:35: Found 0 book for 9782800139432
ERROR: 2024/04/16 20:33:24 createauthors.go:35: Found 0 book for 9782803601936
ERROR: 2024/04/16 20:33:28 createauthors.go:41: No author found for 9782803602018
ERROR: 2024/04/16 20:33:35 createauthors.go:35: Found 0 book for 9782803603503
ERROR: 2024/04/16 20:33:43 createauthors.go:35: Found 0 book for 9782803604340
ERROR: 2024/04/16 20:33:44 createauthors.go:41: No author found for 9782803604562
ERROR: 2024/04/16 20:33:45 createauthors.go:35: Found 0 book for 9782803604708
ERROR: 2024/04/16 20:33:47 createauthors.go:41: No author found for 9782803604975
ERROR: 2024/04/16 20:33:47 createauthors.go:41: No author found for 9782803604999
ERROR: 2024/04/16 20:34:01 createauthors.go:35: Found 0 book for 9782803606474
ERROR: 2024/04/16 20:34:03 createauthors.go:35: Found 0 book for 9782803606641
ERROR: 2024/04/16 20:34:10 createauthors.go:35: Found 0 book for 9782803607211
ERROR: 2024/04/16 20:34:11 createauthors.go:35: Found 0 book for 9782803607228
ERROR: 2024/04/16 20:34:14 createauthors.go:35: Found 0 book for 9782803607563
ERROR: 2024/04/16 20:34:17 createauthors.go:35: Found 0 book for 9782803607938
ERROR: 2024/04/16 20:34:17 createauthors.go:35: Found 0 book for 9782803608010
ERROR: 2024/04/16 20:34:25 createauthors.go:35: Found 0 book for 9782803609215
ERROR: 2024/04/16 20:34:27 createauthors.go:35: Found 0 book for 9782803609888
ERROR: 2024/04/16 20:34:32 createauthors.go:41: No author found for 9782803610594
ERROR: 2024/04/16 20:35:01 createauthors.go:35: Found 0 book for 9782803900442
ERROR: 2024/04/16 20:35:06 createauthors.go:35: Found 0 book for 9782803900664
ERROR: 2024/04/16 20:35:10 createauthors.go:35: Found 0 book for 9782840550112
ERROR: 2024/04/16 20:35:13 createauthors.go:35: Found 0 book for 9782840550259
ERROR: 2024/04/16 20:35:20 createauthors.go:41: No author found for 9782840550518
ERROR: 2024/04/16 20:35:49 createauthors.go:35: Found 0 book for 9782840552680
ERROR: 2024/04/16 20:36:37 createauthors.go:41: No author found for 9782840558897
ERROR: 2024/04/16 20:36:40 createauthors.go:41: No author found for 9782840559283
ERROR: 2024/04/16 20:37:02 createauthors.go:35: Found 0 book for 9782845658974
ERROR: 2024/04/16 20:37:09 createauthors.go:35: Found 0 book for 9782847890006
ERROR: 2024/04/16 20:37:57 createauthors.go:35: Found 0 book for 9782858150823
ERROR: 2024/04/16 20:38:28 createauthors.go:35: Found 0 book for 9782862660479
ERROR: 2024/04/16 20:38:29 createauthors.go:35: Found 0 book for 9782864970002
ERROR: 2024/04/16 20:38:29 createauthors.go:35: Found 0 book for 9782864970200
ERROR: 2024/04/16 20:38:30 createauthors.go:35: Found 0 book for 9782864970538
ERROR: 2024/04/16 20:38:31 createauthors.go:35: Found 0 book for 9782867250156
ERROR: 2024/04/16 20:38:33 createauthors.go:41: No author found for 9782867262005
ERROR: 2024/04/16 20:38:37 createauthors.go:35: Found 0 book for 9782869670341
ERROR: 2024/04/16 20:38:41 createauthors.go:35: Found 0 book for 9782869670969
ERROR: 2024/04/16 20:38:46 createauthors.go:41: No author found for 9782869671409
ERROR: 2024/04/16 20:38:47 createauthors.go:35: Found 0 book for 9782869671515
ERROR: 2024/04/16 20:38:51 createauthors.go:35: Found 0 book for 9782869671614
ERROR: 2024/04/16 20:38:52 createauthors.go:35: Found 0 book for 9782869671621
ERROR: 2024/04/16 20:38:55 createauthors.go:35: Found 0 book for 9782869671744
ERROR: 2024/04/16 20:38:56 createauthors.go:35: Found 0 book for 9782869671867
ERROR: 2024/04/16 20:38:58 createauthors.go:35: Found 0 book for 9782869671973
ERROR: 2024/04/16 20:39:22 createauthors.go:35: Found 0 book for 9782870960066
ERROR: 2024/04/16 20:39:27 createauthors.go:35: Found 0 book for 9782871290223
ERROR: 2024/04/16 20:39:31 createauthors.go:35: Found 0 book for 9782871290445
ERROR: 2024/04/16 20:39:32 createauthors.go:35: Found 0 book for 9782871290476
ERROR: 2024/04/16 20:39:34 createauthors.go:35: Found 0 book for 9782871290575
ERROR: 2024/04/16 20:39:49 createauthors.go:35: Found 0 book for 9782871291176
ERROR: 2024/04/16 20:40:07 createauthors.go:41: No author found for 9782871297550
ERROR: 2024/04/16 20:40:10 createauthors.go:35: Found 0 book for 9782871420071
ERROR: 2024/04/16 20:40:11 createauthors.go:35: Found 0 book for 9782871420125
ERROR: 2024/04/16 20:40:13 createauthors.go:35: Found 0 book for 9782871440109
ERROR: 2024/04/16 20:40:16 createauthors.go:41: No author found for 9782871530022
ERROR: 2024/04/16 20:40:21 createauthors.go:35: Found 0 book for 9782872650163
ERROR: 2024/04/16 20:40:22 createauthors.go:41: No author found for 9782872970001
ERROR: 2024/04/16 20:40:23 createauthors.go:35: Found 0 book for 9782872970025
ERROR: 2024/04/16 20:40:23 createauthors.go:41: No author found for 9782872970100
ERROR: 2024/04/16 20:40:24 createauthors.go:35: Found 0 book for 9782872970117
ERROR: 2024/04/16 20:40:27 createauthors.go:35: Found 0 book for 9782876870604
ERROR: 2024/04/16 20:40:32 createauthors.go:35: Found 0 book for 9782876871137
ERROR: 2024/04/16 20:40:33 createauthors.go:35: Found 0 book for 9782876871175
ERROR: 2024/04/16 20:40:33 createauthors.go:35: Found 0 book for 9782876871267
ERROR: 2024/04/16 20:40:37 createauthors.go:35: Found 0 book for 9782876950122
ERROR: 2024/04/16 20:40:38 createauthors.go:35: Found 0 book for 9782876950139
ERROR: 2024/04/16 20:40:44 createauthors.go:35: Found 0 book for 9782876951020
ERROR: 2024/04/16 20:40:45 createauthors.go:35: Found 0 book for 9782876951044
ERROR: 2024/04/16 20:40:46 createauthors.go:41: No author found for 9782876951303
ERROR: 2024/04/16 20:40:47 createauthors.go:35: Found 0 book for 9782876951617
