,Url,Série,Numéro,Title,Cote,Check,Notes Erwan,Author(s),Scénariste,Dessinateur,Editor,Release date,Book format,Language,Summary,Grade,Cover,Estimated price,Bonus data
9782205040982,https://www.justbooks.fr/search/?keywords=9782205040982&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Cliff Burton,6,Pur Sang,CLIFF,o,,Rodolphe,,,Dargaud,1993,Couverture souple,Français,,,https://pictures.abebooks.com/isbn/9782205040982-us-300.jpg,,NaN
9782205042740,https://www.justbooks.fr/search/?keywords=9782205042740&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Cliff Burton,7,Schizo,CLIFF,o,,Rodolphe; Durand,,,Dargaud,1994,Couverture souple,Français,xxxx,,https://pictures.abebooks.com/isbn/9782205042740-us-300.jpg,,NaN
9782803607655,https://www.justbooks.fr/search/?keywords=9782803607655&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Clifton,13,Matoutou-Falaise,CLIFT,o,,Bédu,,,Le Lombard,1996,Couverture souple,Français,,,https://pictures.abebooks.com/isbn/9782803607655-us-300.jpg,,NaN
9782723410120,https://www.justbooks.fr/search/?keywords=9782723410120&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Clotho,1,Le Gambit des innocents,CLOTH,o,,"Dewamme, Gérard; Bonodot, Jacques",,,Glénat,1989,Couverture rigide,Français,,,https://pictures.abebooks.com/isbn/9782723410120-us-300.jpg,"€11,99",NaN
9782723411615,https://www.justbooks.fr/search/?keywords=9782723411615&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Clotho,2,La Larme de sang,CLOTH,o,,"Dewamme, Gérard; Bonodot, Jacques",,,Glénat,1990,Couverture souple,Français,,,https://pictures.abebooks.com/isbn/9782723411615-us-300.jpg,"€7,20",NaN
9782731604269,https://www.justbooks.fr/search/?keywords=9782731604269&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Les Closh,3,Coco night,COCON,o,,Ben/Radis/Dodo,,,Les Humanoïdes associés,1987,,,,,https://pictures.abebooks.com/isbn/9782731604269-us-300.jpg,"€7,88",NaN
9782723413114,https://www.justbooks.fr/search/?keywords=9782723413114&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Coeur Brûlé,1,Le Chemin-qui-Marche,COEUR,o,,,,,Glénat BD,1991,Couverture souple,Français,,3.00 Note moyenne,https://pictures.abebooks.com/isbn/9782723413114-us-300.jpg,"€20,52",NaN
9782723414241,https://www.justbooks.fr/search/?keywords=9782723414241&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Coeur Brûlé,2,La Petite guerre,COEUR,o,,"Cothias, Patrick; Dethorey, Jean-Paul",,,Glénat,1992,Couverture souple,Français,,3.00 Note moyenne,https://pictures.abebooks.com/isbn/9782723414241-us-300.jpg,,NaN
9782723419154,https://www.justbooks.fr/search/?keywords=9782723419154&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Coeur Brûlé,3,La robe noire,COEUR,o,,Patrick Cothias; Michel Meral,,,Glénat,1995,Couverture rigide,,,3.00 Note moyenne,https://pictures.abebooks.com/isbn/9782723419154-us-300.jpg,,NaN
9782723421607,https://www.justbooks.fr/search/?keywords=9782723421607&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Coeur Brûlé,4,Saignements,COEUR,o,,"Cothias, Patrick; Meral, Michel",,,Glénat,1996,Couverture souple,Français,,2.50 Note moyenne,https://pictures.abebooks.com/isbn/9782723421607-us-300.jpg,"€392,39",NaN
9782731609899,https://www.justbooks.fr/search/?keywords=9782731609899&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Le Coeur couronné,1,La Folle du Sacré-coeur,COEUR,o,,JODOROWSKY+MOEBIUS,,,Les Humanoïdes associés,2000,,Français,,3.56 Note moyenne,https://pictures.abebooks.com/isbn/9782731609899-us-300.jpg,"€39,82",NaN
9782731610055,https://www.justbooks.fr/search/?keywords=9782731610055&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Le Coeur couronné,2,Le piège de l'irrationnel,COEUR,o,,Alexandro Jodorowsky,,,Les Humanoïdes associés,1993,,Français,eastman shelf 2,,https://pictures.abebooks.com/isbn/9782731610055-us-300.jpg,,NaN
